0,1625
1,1580
2,1758
3,1651
4,1612
5,1581
6,1590
7,1542
8,1534
9,1540
10,1540
11,1486
12,1535
13,1414
14,1449
15,1440
16,1424
17,1240
18,1397
19,1197
20,1372
21,1254
22,1244
23,1108
24,1362
25,1074
26,1163
27,1136
28,1171
29,942
30,1193
31,890
32,1106
33,1035
34,892
35,1019
36,1270
37,821
38,830
39,949
40,1157
41,723
42,997
43,718
44,982
45,952
46,726
47,677
48,1139
49,762
50,845
51,725
52,849
53,633
54,932
55,798
56,915
57,647
58,613
59,590
60,1110
61,564
62,586
63,790
64,800
65,736
66,837
67,532
68,621
69,587
70,839
71,500
72,1054
73,495
74,497
75,634
76,613
77,689
78,769
79,456
80,877
81,598
82,453
83,447
84,874
85,507
86,424
87,466
88,726
89,395
90,864
91,570
92,497
93,426
94,388
95,437
96,831
97,373
98,519
99,612
