32.502,31.707
53.427,68.778
61.530,62.562
47.476,71.547
59.813,87.231
55.142,78.212
52.212,79.642
39.300,59.171
48.105,75.331
52.550,71.301
45.420,55.166
54.352,82.479
44.164,62.009
58.168,75.393
56.727,81.436
48.956,60.724
44.687,82.893
60.297,97.380
45.619,48.847
38.817,56.877
66.190,83.879
65.416,118.591
47.481,57.252
41.576,51.392
51.845,75.381
59.371,74.766
57.310,95.455
63.616,95.229
46.738,79.052
50.557,83.432
52.224,63.359
35.568,41.413
42.436,76.617
58.165,96.770
57.504,74.084
45.441,66.588
61.896,77.768
33.094,50.720
36.436,62.125
37.676,60.810
